iter	Passed	Remaining
155	699	3782
156	701	3767
157	704	3756
158	707	3743
159	710	3730
160	713	3719
161	716	3708
162	719	3696
163	722	3683
164	725	3672
165	728	3661
166	731	3649
167	734	3636
168	737	3624
169	740	3613
170	742	3600
171	745	3587
172	747	3574
173	750	3562
174	753	3550
175	755	3538
176	758	3526
177	761	3514
178	763	3504
179	766	3494
180	768	3478
181	771	3466
182	773	3454
183	776	3444
184	779	3435
185	782	3424
186	785	3414
187	788	3403
188	790	3392
189	792	3380
190	795	3370
191	798	3358
192	801	3350
193	804	3341
194	806	3330
195	809	3321
196	812	3311
197	815	3301
198	818	3293
199	820	3283
200	823	3273
201	826	3265
202	828	3254
203	831	3246
204	834	3237
205	837	3228
206	840	3220
207	843	3212
208	846	3203
209	849	3194
210	851	3185
211	854	3176
212	857	3168
213	860	3161
214	864	3154
215	866	3146
216	869	3137
217	872	3131
218	875	3122
219	878	3116
220	882	3111
221	885	3103
222	888	3095
223	891	3087
224	894	3080
225	897	3072
226	899	3063
227	902	3056
228	905	3048
229	908	3042
230	912	3036
231	915	3029
232	918	3022
233	921	3015
234	924	3008
235	927	3003
236	930	2995
237	933	2988
238	937	2983
239	940	2977
240	943	2971
241	946	2964
242	950	2959
243	953	2954
244	956	2948
245	959	2941
246	962	2935
247	966	2930
248	969	2924
249	972	2918
250	976	2913
251	979	2907
252	983	2904
253	988	2902
254	991	2896
255	994	2889
256	997	2884
257	1000	2878
258	1004	2872
259	1007	2866
260	1010	2860
261	1013	2854
262	1016	2849
263	1020	2844
264	1023	2837
265	1026	2831
266	1030	2827
267	1033	2823
268	1036	2817
269	1040	2813
270	1043	2806
271	1046	2802
272	1050	2798
273	1053	2792
274	1057	2787
275	1060	2781
276	1063	2775
277	1066	2770
278	1069	2763
279	1072	2758
280	1075	2753
281	1078	2747
282	1082	2741
283	1084	2735
284	1087	2729
285	1090	2722
286	1093	2716
287	1096	2710
288	1100	2706
289	1102	2700
290	1105	2694
291	1108	2687
292	1111	2681
293	1113	2674
294	1116	2667
295	1118	2661
296	1121	2654
297	1124	2648
298	1127	2642
299	1130	2636
300	1132	2629
301	1134	2622
302	1137	2615
303	1138	2607
304	1141	2600
305	1143	2593
306	1146	2587
307	1148	2581
308	1151	2573
309	1153	2568
310	1156	2561
311	1159	2556
312	1162	2551
313	1164	2544
314	1167	2539
315	1171	2535
316	1174	2530
317	1177	2524
318	1180	2519
319	1183	2513
320	1185	2508
321	1188	2502
322	1191	2496
323	1194	2492
324	1197	2486
325	1199	2480
326	1202	2474
327	1205	2469
328	1207	2462
329	1210	2458
330	1213	2452
331	1216	2446
332	1218	2440
333	1221	2435
334	1223	2429
335	1226	2423
336	1229	2418
337	1231	2412
338	1234	2406
339	1237	2401
340	1239	2395
341	1242	2390
342	1245	2384
343	1247	2379
344	1250	2373
345	1253	2368
346	1255	2363
347	1258	2358
348	1261	2352
349	1264	2349
350	1267	2344
351	1270	2339
352	1273	2334
353	1276	2328
354	1279	2323
355	1281	2319
356	1284	2314
357	1287	2309
358	1290	2304
359	1293	2299
360	1296	2295
361	1298	2289
362	1301	2284
363	1304	2278
364	1306	2273
365	1309	2268
366	1312	2263
367	1315	2258
368	1318	2254
369	1320	2248
370	1323	2244
371	1327	2240
372	1330	2235
373	1332	2230
374	1335	2226
375	1338	2221
376	1341	2216
377	1343	2211
378	1346	2206
379	1348	2200
380	1351	2196
381	1354	2191
382	1357	2186
383	1359	2180
384	1362	2176
385	1365	2171
386	1368	2167
387	1371	2162
388	1373	2158
389	1376	2153
390	1379	2148
391	1382	2144
392	1385	2139
393	1388	2135
394	1390	2129
395	1393	2125
396	1396	2120
397	1399	2116
398	1401	2111
399	1404	2106
400	1407	2101
401	1409	2097
402	1411	2091
403	1413	2085
404	1416	2081
405	1418	2075
406	1421	2071
407	1424	2066
408	1427	2062
409	1429	2056
410	1431	2051
411	1433	2046
412	1437	2042
413	1439	2037
414	1441	2032
415	1444	2027
416	1446	2022
417	1449	2018
418	1452	2013
419	1454	2009
420	1457	2004
421	1460	1999
422	1462	1994
423	1465	1990
424	1467	1986
425	1470	1981
426	1472	1976
427	1475	1972
428	1478	1967
429	1480	1962
430	1483	1957
431	1486	1953
432	1488	1949
433	1492	1945
434	1494	1941
435	1497	1937
436	1500	1933
437	1502	1928
438	1505	1923
439	1508	1920
440	1511	1915
441	1513	1911
442	1517	1908
443	1520	1903
444	1523	1899
445	1525	1895
446	1528	1890
447	1530	1886
448	1533	1881
449	1536	1877
450	1539	1873
451	1542	1869
452	1545	1866
453	1548	1862
454	1551	1858
455	1555	1855
456	1558	1851
457	1561	1848
458	1564	1844
459	1568	1840
460	1570	1836
461	1573	1832
462	1576	1828
463	1579	1824
464	1581	1819
465	1584	1815
466	1586	1811
467	1589	1807
468	1592	1803
469	1595	1799
470	1598	1795
471	1601	1791
472	1604	1787
473	1607	1783
474	1610	1779
475	1613	1775
476	1615	1771
477	1618	1767
478	1621	1763
479	1625	1760
480	1627	1756
481	1630	1752
482	1633	1748
483	1636	1744
484	1639	1740
485	1642	1736
486	1645	1732
487	1648	1729
488	1653	1727
489	1657	1725
490	1667	1728
491	1672	1726
492	1677	1725
493	1681	1722
494	1685	1719
495	1690	1717
496	1694	1714
497	1697	1711
498	1702	1709
499	1706	1706
500	1710	1703
501	1713	1700
502	1717	1696
503	1720	1693
504	1724	1690
505	1727	1686
506	1731	1683
507	1734	1680
508	1739	1677
509	1743	1674
510	1747	1672
511	1750	1668
512	1753	1664
513	1757	1661
514	1760	1657
515	1763	1654
516	1766	1650
517	1769	1646
518	1773	1643
519	1776	1640
520	1780	1637
521	1787	1636
522	1790	1632
523	1804	1639
524	1810	1637
525	1813	1634
526	1819	1633
527	1824	1630
528	1833	1632
529	1842	1633
530	1846	1631
531	1850	1627
532	1856	1626
533	1863	1626
534	1868	1623
535	1878	1626
536	1886	1626
537	1890	1623
538	1894	1619
539	1896	1615
540	1900	1612
541	1904	1609
542	1908	1606
543	1912	1603
544	1918	1602
545	1925	1600
546	1929	1598
547	1933	1594
548	1938	1592
549	1942	1589
550	1946	1586
551	1951	1583
552	1954	1580
553	1959	1577
554	1963	1574
555	1967	1571
556	1971	1567
557	1975	1564
558	1978	1561
559	1983	1558
560	1988	1555
561	1991	1552
562	1995	1549
563	1999	1545
564	2002	1541
565	2005	1537
566	2009	1534
567	2012	1530
568	2015	1526
569	2018	1522
570	2022	1519
571	2025	1515
572	2028	1511
573	2031	1507
574	2034	1503
575	2037	1500
576	2040	1496
577	2043	1492
578	2046	1488
579	2049	1484
580	2052	1480
581	2055	1476
582	2059	1472
583	2062	1469
584	2066	1465
585	2069	1462
586	2073	1458
587	2076	1454
588	2079	1451
589	2082	1447
590	2085	1443
591	2088	1439
592	2092	1435
593	2094	1431
594	2098	1428
595	2101	1424
596	2105	1420
597	2108	1417
598	2112	1413
599	2115	1410
600	2118	1406
601	2121	1402
602	2125	1399
603	2128	1395
604	2131	1391
605	2134	1388
606	2137	1384
607	2140	1379
608	2143	1375
609	2146	1372
610	2149	1368
611	2151	1364
612	2154	1360
613	2157	1356
614	2161	1353
615	2165	1349
616	2169	1346
617	2172	1343
618	2175	1339
619	2179	1335
620	2182	1331
621	2185	1328
622	2188	1324
623	2192	1320
624	2195	1317
625	2198	1313
626	2200	1309
627	2204	1306
628	2207	1302
629	2210	1298
630	2213	1294
631	2216	1290
632	2220	1287
633	2222	1283
634	2226	1279
635	2228	1275
636	2231	1271
637	2233	1267
638	2237	1263
639	2239	1259
640	2243	1256
641	2246	1252
642	2249	1248
643	2252	1245
644	2255	1241
645	2258	1237
646	2261	1233
647	2263	1229
648	2267	1226
649	2270	1222
650	2274	1219
651	2277	1215
652	2280	1211
653	2283	1208
654	2286	1204
655	2289	1200
656	2292	1197
657	2296	1193
658	2299	1189
659	2302	1186
660	2305	1182
661	2308	1178
662	2312	1175
663	2315	1171
664	2318	1168
665	2322	1164
666	2325	1161
667	2329	1157
668	2332	1153
669	2335	1150
670	2338	1146
671	2341	1143
672	2345	1139
673	2348	1136
674	2351	1132
675	2354	1128
676	2358	1125
677	2362	1122
678	2365	1118
679	2369	1115
680	2372	1111
681	2376	1107
682	2379	1104
683	2382	1100
684	2385	1097
685	2388	1093
686	2392	1090
687	2395	1086
688	2399	1083
689	2403	1079
690	2407	1076
691	2410	1072
692	2413	1069
693	2417	1066
694	2421	1062
695	2424	1059
696	2428	1055
697	2431	1052
698	2434	1048
699	2438	1044
700	2441	1041
701	2444	1037
702	2447	1033
703	2450	1030
704	2453	1026
705	2456	1022
706	2458	1019
707	2462	1015
708	2465	1011
709	2469	1008
710	2472	1004
711	2475	1001
712	2478	997
713	2481	993
714	2484	990
715	2488	986
716	2491	983
717	2494	979
718	2498	976
719	2502	973
720	2505	969
721	2508	965
722	2512	962
723	2515	958
724	2518	955
725	2521	951
726	2524	948
727	2528	944
728	2531	940
729	2535	937
730	2538	934
731	2541	930
732	2544	927
733	2549	923
734	2551	920
735	2555	916
736	2557	912
737	2562	909
738	2565	906
739	2568	902
740	2572	899
741	2575	895
742	2578	891
743	2581	888
744	2586	885
745	2590	881
746	2594	878
747	2597	874
748	2600	871
749	2603	867
750	2606	864
751	2609	860
752	2612	857
753	2615	853
754	2619	849
755	2622	846
756	2625	842
757	2629	839
758	2632	835
759	2635	832
760	2638	828
761	2641	825
762	2645	821
763	2649	818
764	2652	814
765	2655	811
766	2659	807
767	2661	804
768	2665	800
769	2668	797
770	2672	793
771	2675	790
772	2678	786
773	2681	782
774	2684	779
775	2687	775
776	2691	772
777	2694	768
778	2698	765
779	2701	761
780	2704	758
781	2707	754
782	2710	751
783	2713	747
784	2716	743
785	2719	740
786	2724	737
787	2728	734
788	2734	731
789	2737	727
790	2741	724
791	2744	720
792	2749	717
793	2753	714
794	2756	710
795	2760	707
796	2763	703
797	2766	700
798	2771	697
799	2775	693
800	2778	690
801	2782	686
802	2786	683
803	2789	680
804	2793	676
805	2796	673
806	2800	669
807	2803	666
808	2806	662
809	2810	659
810	2813	655
811	2816	652
812	2820	648
813	2823	645
814	2826	641
815	2829	638
816	2833	634
817	2835	630
818	2838	627
819	2842	623
820	2846	620
821	2850	617
822	2856	614
823	2863	611
824	2868	608
825	2871	604
826	2877	601
827	2880	598
828	2883	594
829	2887	591
830	2891	587
831	2895	584
832	2898	581
833	2904	578
834	2907	574
835	2919	572
836	2923	569
837	2930	566
838	2935	563
839	2939	559
840	2942	556
841	2945	552
842	2948	549
843	2951	545
844	2954	541
845	2957	538
846	2961	535
847	2966	531
848	2969	528
849	2973	524
850	2976	521
851	2979	517
852	2982	514
853	2985	510
854	2988	506
855	2991	503
856	2994	499
857	2996	495
858	2999	492
859	3002	488
860	3005	485
861	3008	481
862	3011	478
863	3014	474
864	3017	470
865	3020	467
866	3023	463
867	3026	460
868	3030	456
869	3033	453
870	3037	449
871	3040	446
872	3043	442
873	3046	439
874	3049	435
875	3052	432
876	3056	428
877	3060	425
878	3062	421
879	3065	418
880	3068	414
881	3071	410
882	3074	407
883	3076	403
884	3080	400
885	3082	396
886	3085	393
887	3087	389
888	3089	385
889	3092	382
890	3095	378
891	3098	375
892	3100	371
893	3103	367
894	3106	364
895	3109	360
896	3111	357
897	3114	353
898	3116	350
899	3120	346
900	3123	343
901	3125	339
902	3128	336
903	3130	332
904	3133	328
905	3136	325
906	3139	321
907	3141	318
908	3144	314
909	3146	311
910	3149	307
911	3151	304
912	3154	300
913	3157	297
914	3159	293
915	3161	289
916	3163	286
917	3166	282
918	3169	279
919	3171	275
920	3173	272
921	3176	268
922	3179	265
923	3182	261
924	3184	258
925	3187	254
926	3189	251
927	3191	247
928	3194	244
929	3196	240
930	3198	237
931	3201	233
932	3203	230
933	3206	226
934	3208	223
935	3211	219
936	3214	216
937	3217	212
938	3219	209
939	3222	205
940	3224	202
941	3227	198
942	3230	195
943	3233	191
944	3235	188
945	3238	184
946	3241	181
947	3243	177
948	3246	174
949	3249	171
950	3251	167
951	3254	164
952	3257	160
953	3260	157
954	3263	153
955	3265	150
956	3268	146
957	3270	143
958	3273	139
959	3276	136
960	3278	133
961	3281	129
962	3284	126
963	3287	122
964	3289	119
965	3292	115
966	3294	112
967	3297	108
968	3299	105
969	3302	102
970	3304	98
971	3307	95
972	3309	91
973	3312	88
974	3314	84
975	3317	81
976	3319	78
977	3321	74
978	3323	71
979	3326	67
980	3329	64
981	3332	61
982	3334	57
983	3337	54
984	3340	50
985	3342	47
986	3345	44
987	3348	40
988	3350	37
989	3353	33
990	3356	30
991	3359	27
992	3361	23
993	3363	20
994	3366	16
995	3368	13
996	3371	10
997	3373	6
998	3376	3
999	3379	0
